Edge Relation,Edge Weight,Edge Color,Wheelchair,Steep Incline
A Parking to 1,999,black,Yes,No
A Parking to 2,999,black,Yes,No
A Parking to 27,999,black,Yes,No
A Parking to 28,999,black,Yes,No
A Parking to 37,999,black,Yes,No
A Parking to 38,999,black,Yes,No
G Parking to 3,999,black,Yes,No
G Parking to 25,999,black,Yes,No
G Parking to 26,999,black,Yes,No
G Parking to 27,999,black,Yes,No
Fullerton Arboretum to 5,999,black,Yes,No
Fullerton Arboretum to 7,999,black,Yes,No
Fullerton Arboretum to 10,999,black,Yes,No
Fullerton Arboretum to 23,999,black,Yes,No
Goodwin Field to 26,999,black,Yes,No
Goodwin Field to 23,999,black,Yes,No
Titan Stadium to 27,999,black,Yes,Yes
Titan Stadium to 31,999,black,Yes,Yes
Anderson Field to 23,999,black,Yes,No
Titan Sports Complex to 31,999,black,Yes,No
Titan Sports Complex to 22,999,black,Yes,No
Soccer Field to 31,999,black,Yes,No
Soccer Field to 32,999,black,Yes,No
Tennis Courts to 51,999,black,Yes,No
Tennis Courts to 52,999,black,Yes,No
Intramural Area to 21,999,black,Yes,No
Intramural Area to 53,999,black,Yes,No
Children's Center to 30,999,black,Yes,No
Children's Center to 38,999,black,Yes,No
A-South Parking to 37,999,black,Yes,No
A-South Parking to 32,999,black,Yes,No
A-South Parking to 33,999,black,Yes,No
A-South Parking to 34,999,black,Yes,No
Parking & Transport Office to 34,999,black,Yes,No
Parking & Transport Office to 35,999,black,Yes,No
Parking & Transport Office to 37,999,black,Yes,No
Corporation Yard to 34,999,black,Yes,No
Corporation Yard to 40,999,black,Yes,No
Corporation Yard to 48,999,black,Yes,No
D Parking to 33,999,black,Yes,No
D Parking to 49,999,black,Yes,No
D Parking to 51,999,black,Yes,No
Titan House to 21,999,black,Yes,No
Titan House to 54,999,black,Yes,No
Ruby Gerontology Center to 20,999,black,Yes,No
Ruby Gerontology Center to 18,999,black,Yes,No
Ruby Gerontology Center to 17,999,black,Yes,No
Ruby Gerontology Center to 55,999,black,Yes,No
Residence Halls to 9,999,black,Yes,No
Residence Halls to 10,999,black,Yes,No
Residence Halls to 12,999,black,Yes,No
Housing Office to 11,999,black,Yes,No
Housing Office to 12,999,black,Yes,No
Housing Office to 13,999,black,Yes,No
Student Housing to 14,999,black,Yes,No
Student Housing to 15,999,black,Yes,No
Student Housing to 18,999,black,Yes,No
Student Housing to 19,999,black,Yes,No
Student Health & Counseling Center to 54,999,black,No,No
Student Health & Counseling Center to 57,999,black,Yes,No
Student Health & Counseling Center to 59,999,black,No,No
Titan Gymnasium to 52,999,black,Yes,No
Titan Gymnasium to 59,999,black,Yes,No
Titan Gymnasium to 79,999,black,Yes,No
Student Rec Center to 46,999,black,Yes,No
Student Rec Center to 50,999,black,Yes,No
